metro_area,holc_grade,avg_G,median_G,decile_10_G,quartile_25_G
"Charleston, WV",C,0.699397654909859,0.9622439435,0.075257998,0.35776411675
"Charleston, WV",D,0.568042914212014,0.596981573,0.0390274274,0.1662927075
"Charlotte, NC",A,0.679331826010638,0.938306594,0.0321528664,0.2400488435
"Charlotte, NC",B,0.667964420742857,0.855762812,0.0827908812,0.333890372
"Charlotte, NC",C,0.627004077612111,0.794260908,0.024076654,0.185866724
"Charlotte, NC",D,0.709623137171587,0.9835145535,0.0470631514,0.3774636635
"Chattanooga, TN",A,0.682465826698795,0.895469426,0.0772533538,0.317729202
"Chattanooga, TN",B,0.716115719775261,0.9981967605,0.0849260404,0.38618885725
"Chattanooga, TN",C,0.824344981191686,1,0.1341166206,0.858725032
"Chattanooga, TN",D,0.762952605521912,1,0.101512843,0.546116235
"Chicago, IL",A,0.647870819509312,0.907366553,0.0156002376,0.173962036
"Chicago, IL",B,0.766611655056795,1,0.0747846384,0.563732179
"Chicago, IL",C,0.814613534640476,1,0.1086352626,0.842407047
"Chicago, IL",D,0.821776462639033,1,0.11654448,0.868282719
"Cleveland, OH",A,0.663500360423166,0.938469564,0.0259319264,0.1889781405
"Cleveland, OH",B,0.662642907415672,0.9160161705,0.0223662087,0.235767189
"Cleveland, OH",C,0.711045387745066,0.986404539,0.0366298362,0.324956327
"Cleveland, OH",D,0.775856952582895,1,0.0873681223,0.617468267
"Columbia, SC",A,0.508128334546392,0.47619936,0.0213562322,0.123811572
"Columbia, SC",B,0.518560595895349,0.498402189,0.0321515945,0.10984617675
"Columbia, SC",C,0.610234702434316,0.627655678,0.0612240684,0.290817376
"Columbia, SC",D,0.703146731557692,0.8962567475,0.0926125645,0.40889745375
"Columbus, GA",A,0.379616503166667,0.3594333285,0.0027954005,0.0254006235
"Columbus, GA",B,0.493257164245763,0.499851935,0.0062129781,0.05939834475
"Columbus, GA",C,0.547206380538226,0.544149938,0.012714852,0.078574249
"Columbus, GA",D,0.757157480447419,0.991139839,0.0537168268,0.544320828
"Columbus, OH",A,0.762802829887606,1,0.0609493968,0.497971266
"Columbus, OH",B,0.681359613600119,0.970939177,0.0224919823,0.30411986575
"Columbus, OH",C,0.735000400712032,1,0.0281205285,0.4276715115
"Columbus, OH",D,0.759912177965047,1,0.0377160738,0.504460386
"Dallas, TX",A,0.753293559127737,1,0.058399681,0.47234086075
"Dallas, TX",B,0.781986495146471,1,0.1101064861,0.63044238225
"Dallas, TX",C,0.831721139253206,1,0.1696030022,0.879281504
"Dallas, TX",D,0.807765390374409,1,0.1157581032,0.767888904
"Davenport, IA",A,0.696241012214953,0.930720873,0.0294459964,0.175408919
"Davenport, IA",B,0.741842736115007,1,0.01738101,0.415962899
"Davenport, IA",C,0.801518363031387,1,0.0491447722,0.91207728775
"Davenport, IA",D,0.785177722752556,1,0.040085362,0.830729831
"Dayton, OH",A,0.744075002271889,1,0.037577458,0.36885093
"Dayton, OH",B,0.721833052637746,1,0.0303226202,0.30480532575
"Dayton, OH",C,0.735038146726398,1,0.0301014982,0.376730428
"Dayton, OH",D,0.754936415260726,1,0.0456724995,0.52564959975
"Decatur, IL",A,0.705471908597015,0.987903453,0.0075888272,0.2917868165
"Decatur, IL",B,0.641577416524306,0.9691430415,0.0068012988,0.050717681
"Decatur, IL",C,0.697124348765823,0.991216339,0.0122410785,0.0989045675
"Decatur, IL",D,0.624596415898072,0.964998119,0.0089133296,0.052568528
"Denver, CO",A,0.690228635172691,0.9655785315,0.0349055414,0.31315218425
"Denver, CO",B,0.707868288015267,0.9805968415,0.0227894472,0.3440495195
"Denver, CO",C,0.781527826448323,1,0.038854787,0.785835507
"Denver, CO",D,0.743730656677845,1,0.0289808328,0.4274371495
"Des Moines, IA",A,0.81310756315578,1,0.050899851,0.963187419
"Des Moines, IA",B,0.733520183361734,1,0.0207136056,0.247561744
"Des Moines, IA",C,0.788330154247308,1,0.0259616354,0.807749175
"Des Moines, IA",D,0.821777323391904,1,0.0529757168,0.9397922965
"Detroit, MI",A,0.763696314582071,1,0.0648282803,0.54978513575
"Detroit, MI",B,0.789425389812961,1,0.0699620364,0.771085512
"Detroit, MI",C,0.787433097188111,1,0.067453976,0.731743759
"Detroit, MI",D,0.792665216707579,1,0.0752421630000001,0.7309174355
"Dubuque, IA",A,0.72813430307767,1,0.0738605376,0.3708178085
"Dubuque, IA",B,0.797733794341346,1,0.1125381795,0.7237647415
"Dubuque, IA",C,0.636791893361963,0.908074309,0.0302657496,0.132801606
"Dubuque, IA",D,0.649452233878229,0.93061472,0.027940056,0.1634257895
"Duluth, MN",A,0.759515210714876,1,0.0485495957,0.67110039675
"Duluth, MN",B,0.753834560228197,0.999954079,0.0293699416,0.622088729
"Duluth, MN",C,0.726868655142857,0.998254898,0.0289470148,0.3859064575
"Duluth, MN",D,0.73152520426087,1,0.0525650217,0.3768234885
"Durham, NC",A,0.644291678428572,0.7070457665,0.060097593,0.4208339745
"Durham, NC",B,0.491913675150943,0.445680533,0.0283432425,0.199121034
"Durham, NC",C,0.666967676194192,0.798335858,0.094088461,0.3234667505
"Durham, NC",D,0.740318894095082,0.937262037,0.1998178242,0.496392492
"El Paso, TX",A,0.692220399302789,0.993122945,0.01740032,0.1149966175
"El Paso, TX",B,0.816857965968919,1,0.0789702102,0.8915537095
"El Paso, TX",C,0.746980295908524,1,0.039680911,0.462340268
"El Paso, TX",D,0.736096661337984,1,0.0504327038,0.48840826
"Elmira, NY",A,0.488076277,0.360867949,0.081174874,0.145689937
"Elmira, NY",B,0.686488301261981,0.981715974,0.0287982714,0.268378341
"Elmira, NY",C,0.70429233884844,0.983441,0.0205074462,0.37106809
"Elmira, NY",D,0.564906796420074,0.546199703,0.0132821244,0.115746277
"Erie, PA",A,0.77831829730303,1,0.085144693,0.5621083645
"Erie, PA",B,0.735831679810081,1,0.090742607,0.4276956245
"Erie, PA",C,0.742933680561931,1,0.142320222,0.41894775475
"Erie, PA",D,0.732517835125874,0.961795761,0.0997745935,0.477681779
"Evansville, IN",A,0.779981843370322,0.999695085,0.019110229,0.8649196325
"Evansville, IN",B,0.640588967940171,0.939475293,0.0083293636,0.069351504
"Evansville, IN",C,0.769310488681466,1,0.026784248,0.6286535065
"Evansville, IN",D,0.702432132860045,0.979714612,0.0181384646,0.377333614
"Flint, MI",A,0.51612872985,0.5761077085,0.0065188207,0.06681286425
"Flint, MI",B,0.772097195322581,1,0.0748125175,0.65811583675
"Flint, MI",C,0.740529724809182,1,0.0755036684,0.45239091575
"Flint, MI",D,0.727846042709066,0.9992814375,0.0344026635,0.40851951325
"Fort Wayne, IN",A,0.534720647012658,0.530292868,0.0065891262,0.039647292
"Fort Wayne, IN",B,0.663641145941667,0.855841848,0.0369903936,0.360676936
"Fort Wayne, IN",C,0.706879724372807,0.95223258,0.03798,0.39700692925
"Fort Wayne, IN",D,0.566168601333333,0.577593646,0.024370473,0.1101255535
"Fresno, CA",A,0.626964199378378,0.76987473,0.0184500336,0.04557112
"Fresno, CA",B,0.668094574955327,0.884964418,0.047155383,0.227187934
"Fresno, CA",C,0.751911983139608,1,0.0598875964,0.518102711
"Fresno, CA",D,0.640877465109859,0.938512772,0.0157015594,0.132302404
"Grand Rapids, MI",A,0.667179567088235,0.9749135885,0.0165222243,0.18941495825
"Grand Rapids, MI",B,0.652075320614619,0.957485137,0.0133850164,0.111130959
"Grand Rapids, MI",C,0.759126000284132,1,0.0400351894,0.5646157055
"Grand Rapids, MI",D,0.672108963747967,0.844664552,0.0306671094,0.3672256495
"Greensboro, NC",A,0.730441445752066,0.9894999395,0.0384180372,0.443674889
"Greensboro, NC",B,0.598040939565611,0.605483433,0.058500751,0.268618442
"Greensboro, NC",C,0.694071484902204,0.9708544395,0.0268255835,0.35347578025
"Greensboro, NC",D,0.73635759690785,0.996171857,0.1075765722,0.444823395
"Harrisburg, PA",A,0.733671590679348,0.952831013,0.0392138844,0.493742615
"Harrisburg, PA",B,0.825051306925121,1,0.070598209,0.8949310475
"Harrisburg, PA",C,0.75789106652019,0.999278862,0.059721089,0.561920794
"Harrisburg, PA",D,0.727264621504742,0.978689373,0.0392497844,0.433354822
"Hartford, CT",A,0.648224306026191,0.9602993435,0.0106809144,0.097866105
"Hartford, CT",B,0.703902930886889,0.989994618,0.022079763,0.284806883
"Hartford, CT",C,0.710573847152985,0.9773418725,0.0301330694,0.3459333355
"Hartford, CT",D,0.651656261176136,0.8969587155,0.034101535,0.212109363
"Houston, TX",A,0.853962540697642,1,0.199058989,0.981370338
"Houston, TX",B,0.798560231087766,1,0.0952997873,0.73560710575
"Houston, TX",C,0.837660420946112,1,0.1671037008,0.890007053
"Houston, TX",D,0.843621198133834,1,0.1850708104,0.917258582
"Huntington, WV",A,0.70558361777044,0.996566352,0.0227236134,0.371481559
"Huntington, WV",B,0.653821158562712,0.898025385,0.0226212918,0.2204372835
"Huntington, WV",C,0.716600718448409,1,0.0446957342,0.36391769
"Huntington, WV",D,0.510250084347826,0.48849168,0.0100072634,0.064462979
"Indianapolis, IN",A,0.780265044864545,1,0.0487311115,0.6983105965
"Indianapolis, IN",B,0.70911663770809,1,0.0418773316,0.2928407275
"Indianapolis, IN",C,0.833233403702235,1,0.14276404,0.90170388375
"Indianapolis, IN",D,0.790658228605499,1,0.0853571818,0.7088619635
"Jackson, MI",A,0.690951191395062,0.992198271,0.055972195,0.30925474
"Jackson, MI",B,0.757198108082353,1,0.1041995566,0.552532729
"Jackson, MI",C,0.713130957734143,1,0.084918056,0.350478094
"Jackson, MI",D,0.691623533515464,0.989199414,0.041692554,0.309712428
"Jackson, MS",A,0.725729443271357,0.98873782,0.0593707416,0.4608104985
"Jackson, MS",B,0.654155820079646,0.874989932,0.0376119866,0.27982165
"Jackson, MS",C,0.573430841490323,0.6269409995,0.0252010857,0.14986537875
"Jackson, MS",D,0.739991200811538,1,0.0678052215,0.46242141825
"Jacksonville, FL",A,0.742640501304568,0.943073578,0.0519686656,0.5602261
"Jacksonville, FL",B,0.759516364987069,1,0.128041581,0.51515550025
"Jacksonville, FL",C,0.741216325912032,0.966986125,0.1082386466,0.522001105
"Jacksonville, FL",D,0.831222671986766,1,0.2050208158,0.80186175675
"Kalamazoo, MI",A,0.602834916558824,0.6425388905,0.0339131291,0.1838537175
"Kalamazoo, MI",B,0.637215951759336,0.950029671,0.024634589,0.103194581
"Kalamazoo, MI",C,0.612321092025543,0.790090714,0.0221056326,0.177545731
"Kalamazoo, MI",D,0.542809913144144,0.596372047,0.026098091,0.1216941395
"Knoxville, TN",A,0.775197566288889,1,0.1595711188,0.503627132
"Knoxville, TN",B,0.593231475026923,0.656771994,0.023451967,0.192349299
"Knoxville, TN",C,0.708998211104799,0.961673663,0.090409598,0.369286725
"Knoxville, TN",D,0.7702240735,1,0.106056532,0.5458908975
"Lancaster, PA",A,0.594899490007722,0.889653021,0.0033613476,0.044154051
"Lancaster, PA",B,0.600583114879342,0.859790384,0.0042169844,0.034727607
"Lancaster, PA",C,0.711386249941176,0.920003969,0.035558311,0.647998166
"Lancaster, PA",D,0.543137278625,0.5962681815,0.0085688791,0.0469396455
"Lansing, MI",A,0.788258694898734,1,0.1597464024,0.56602413125
"Lansing, MI",B,0.706574776964286,1,0.0925507675,0.382520757
"Lansing, MI",C,0.793462466801622,1,0.153123631,0.646411739
"Lansing, MI",D,0.625729314720721,0.715683757,0.0392290643,0.319473963
"Lexington, KY",A,0.666286633834783,0.963963574,0.0591104016,0.239702413
"Lexington, KY",B,0.60264203462234,0.663759049,0.0585439352,0.209062817
"Lexington, KY",C,0.67225890919837,0.8111277495,0.049079547,0.3736213275
"Lexington, KY",D,0.633594563341936,0.894464814,0.0274018421,0.18008765875
"Lima, OH",A,0.719483031710843,1,0.0747626028,0.314985509
"Lima, OH",B,0.673768092647458,0.940578414,0.1035081678,0.2440605155
"Lima, OH",C,0.738284261773529,1,0.0832918578,0.456823591
"Lima, OH",D,0.721592770958199,1,0.054051216,0.402412708
"Lincoln, NE",A,0.839050652992492,1,0.0618384955,0.96572017625
"Lincoln, NE",B,0.749538606117379,1,0.0266091546,0.47782674
"Lincoln, NE",C,0.799542195454614,1,0.052256553,0.809713589
"Lincoln, NE",D,0.693840361655172,0.975935974,0.0623708044,0.2414758175
"Little Rock, AR",A,0.780505749330144,1,0.0153010458,0.910356788
"Little Rock, AR",B,0.762191715070196,0.99738175,0.0146492602,0.753113391
"Little Rock, AR",C,0.809725249781867,1,0.0340113703,0.943071029
"Little Rock, AR",D,0.7682508678735,1,0.0327323908,0.659890238
"Los Angeles, CA",A,0.718316030108897,0.987911055,0.0464499442,0.4024612775
"Los Angeles, CA",B,0.732013252355316,0.9971309925,0.0402393118,0.455470172
"Los Angeles, CA",C,0.778684173043606,1,0.059183786,0.645805794
"Los Angeles, CA",D,0.802801562817073,1,0.0942091193000001,0.756657369
"Louisville, KY",A,0.72545384240795,0.947016168,0.0777603057,0.4467935755
"Louisville, KY",B,0.660487563450418,0.828621957,0.0522082474,0.324441921
"Louisville, KY",C,0.774077254028774,1,0.1117339166,0.57982614275
"Louisville, KY",D,0.783847920166667,1,0.1773411803,0.57453719275
"Lynchburg, VA",A,0.528402155317073,0.463358612,0.0365295406,0.10256248275
"Lynchburg, VA",B,0.613751929617647,0.8532978155,0.0345162249,0.12943175875
"Lynchburg, VA",C,0.653017035502773,0.868626879,0.056705079,0.27792574
"Lynchburg, VA",D,0.564734912784314,0.533777023,0.0616261258,0.23159538825
"Macon, GA",A,0.360992749571429,0.102813848,0.016642447,0.051653221
"Macon, GA",B,0.537866362912699,0.496588475,0.050825683,0.16464539125
"Macon, GA",C,0.519119259690135,0.487521995,0.0358005514,0.181440533
"Macon, GA",D,0.761952101796418,1,0.1289424966,0.53731561
"Madison, WI",A,0.683815778570513,0.9915826295,0.015237924,0.240698853
"Madison, WI",B,0.631935976597826,0.824701614,0.0262024572,0.15205694725
"Madison, WI",C,0.689540498526027,0.9566164085,0.0367145409,0.2854673785
"Madison, WI",D,0.596681391376289,0.8593576495,0.0298866472,0.12010924425
"Manchester, NH",A,0.785860952968254,1,0.0645401922,0.786417874
"Manchester, NH",B,0.756305573321839,1,0.0708437353,0.56197129675
"Manchester, NH",C,0.76523662290912,1,0.0770604146,0.5101776855
"Manchester, NH",D,0.665107825735065,0.901728412,0.0340264314,0.250484696
"Memphis, TN",A,0.681814368955224,0.9497119285,0.023966548,0.19822634
"Memphis, TN",B,0.793138551967424,1,0.078604801,0.70561917
"Memphis, TN",C,0.809868453777861,1,0.1006022634,0.790907959
"Memphis, TN",D,0.911700243588303,1,0.6499140344,1
"Miami, FL",A,0.72986796537665,0.993218953,0.0416909568,0.425043594
"Miami, FL",B,0.67167138862016,0.9053620455,0.0228088944,0.329716598
"Miami, FL",C,0.688987328642111,0.946505739,0.0334094914,0.36676864075
"Miami, FL",D,0.756729655912791,1,0.0562937445,0.53334504975
"Milwaukee Co., WI",A,0.684443340650564,0.992603611,0.027432412,0.156086763
"Milwaukee Co., WI",B,0.760347268001049,1,0.058943635,0.565751111
"Milwaukee Co., WI",C,0.774760348565089,1,0.0696920069,0.63229519625
"Milwaukee Co., WI",D,0.784705207953194,1,0.0851854541,0.72404179225
"Minneapolis, MN",A,0.715374691425964,0.9981203545,0.0196516208,0.3116141455
"Minneapolis, MN",B,0.77297021507302,1,0.0319666891,0.64355330625
"Minneapolis, MN",C,0.727996303006012,0.9985193985,0.0235508515,0.415801398
"Minneapolis, MN",D,0.66522319248569,0.961095524,0.0177896374,0.106330795
"Mobile, AL",A,0.26646122,0.172228142,0.0286099488,0.0521913775
"Mobile, AL",B,0.393939466487805,0.335738705,0.0353173474,0.122555267
"Mobile, AL",C,0.602357590884112,0.683817091,0.051106396,0.215672158
"Mobile, AL",D,0.729487397733292,0.989848078,0.094100258,0.4352731155
"Montgomery, AL",A,0.664553260408451,0.9390583765,0.0137042199,0.1633970515
"Montgomery, AL",B,0.582691915375,0.781533208,0.0363491598,0.09383639925
"Montgomery, AL",C,0.753165669652427,1,0.0835859618,0.398066422
"Montgomery, AL",D,0.811528107814987,1,0.1987559698,0.71779071525
"Muskegon, MI",A,0.675625758733333,0.8916172775,0.0310213816,0.186881795
"Muskegon, MI",B,0.699975388341564,0.980400859,0.0192097166,0.130673093
"Muskegon, MI",C,0.704950908543967,0.962740463,0.0182074842,0.202932549
"Muskegon, MI",D,0.738050339892944,1,0.0425502963,0.3596408715
"Nashville, TN",A,0.870760258633929,1,0.2659413158,0.9994472825
"Nashville, TN",B,0.855282042601043,1,0.1030753034,1
"Nashville, TN",C,0.82488581343578,1,0.0675881654,0.94413974625
"Nashville, TN",D,0.915585674911462,1,0.7783371461,1
"New Castle, PA",A,0.50508750639726,0.517641333,0.0125781914,0.069500369
"New Castle, PA",B,0.636909793203922,0.927673631,0.0217943836,0.1708170965
"New Castle, PA",C,0.701633545049763,0.995761745,0.032736301,0.34289701825
"New Castle, PA",D,0.604193320033784,0.6658717005,0.0374836671,0.162604743
"New Haven, CT",A,0.53904006198913,0.5570408245,0.0105744748,0.11010594775
"New Haven, CT",B,0.714935324033413,0.978763024,0.0137210658,0.387987231
"New Haven, CT",C,0.730547906051513,0.9910015805,0.0383332236,0.42091266575
"New Haven, CT",D,0.703469650329918,0.954082373,0.0275987394,0.413432338
"New Orleans, LA",A,0.671889156494253,0.816824605,0.028573461,0.352904004
"New Orleans, LA",B,0.674028984504444,0.8467295115,0.0853953038,0.3995123315
"New Orleans, LA",C,0.68881945403304,0.855335949,0.0801728624,0.427475942
"New Orleans, LA",D,0.759912221798025,1,0.0739489966,0.509198612
"Ogden, UT",A,0.684965048888158,0.9709300825,0.0192783594,0.1039550645
"Ogden, UT",B,0.645691487201493,0.967893312,0.0127904902,0.051847517
"Ogden, UT",C,0.76044684327758,0.986894631,0.048005133,0.541278492
"Ogden, UT",D,0.666101451558421,0.9780052545,0.0226270866,0.148897916
"Oklahoma City, OK",A,0.746117085074297,0.998740799,0.0416718116,0.447005885
"Oklahoma City, OK",B,0.723529334568966,0.9980754185,0.0220443065,0.192093233
"Oklahoma City, OK",C,0.703841046508178,0.980876645,0.0238690154,0.1972480655
"Oklahoma City, OK",D,0.672582038159846,0.969748819,0.0166179758,0.155240365
"Omaha, NE",A,0.89397047018096,1,0.3174361045,1
"Omaha, NE",B,0.893856669126582,1,0.416846059,1
"Omaha, NE",C,0.865494804946018,1,0.1527422559,0.99793562525
"Omaha, NE",D,0.829862731536585,1,0.0460083126,0.971522871
"Peoria, IL",A,0.600926422666667,0.835382119,0.0611428642,0.171203378
"Peoria, IL",B,0.58849069183945,0.815148275,0.0320473593,0.1191165945
"Peoria, IL",C,0.780089331878156,1,0.078474884,0.722473684
"Peoria, IL",D,0.815097539055319,1,0.0744318166,0.88539094325
"Philadelphia, PA",A,0.760836734852746,1,0.0334132659,0.625585236
"Philadelphia, PA",B,0.828843797874212,1,0.0778792632,0.927565014
"Philadelphia, PA",C,0.80694570482569,1,0.067212996,0.8601807215
"Philadelphia, PA",D,0.88302172299065,1,0.3137860606,1
"Phoenix, AZ",A,0.64971432215534,0.966831273,0.0187535508,0.085971545
"Phoenix, AZ",B,0.717712699371914,1,0.0079646049,0.09750095075
"Phoenix, AZ",C,0.736659693795,0.996715134,0.0245715643,0.38430896225
"Phoenix, AZ",D,0.743663461616981,0.9979306735,0.0370961618,0.49524527425
"Pittsburgh, PA",A,0.698896514841195,0.980367644,0.0531862945,0.30713847025
"Pittsburgh, PA",B,0.802245255648781,1,0.1038383096,0.7558276535
"Pittsburgh, PA",C,0.809427573163646,1,0.114538288,0.783977977
"Pittsburgh, PA",D,0.792149688578707,1,0.086444982,0.698942125
"Portland, OR",A,0.656273639724756,0.93780961,0.0318797618,0.17493682075
"Portland, OR",B,0.726591826826962,0.985754628,0.0542322498,0.429318272
"Portland, OR",C,0.757936373143193,1,0.0702331008,0.55802803375
"Portland, OR",D,0.782848488804191,1,0.1010913944,0.685377999
"Portsmouth, OH",A,0.544981920785714,0.6615303985,0.0102481984,0.1259940635
"Portsmouth, OH",B,0.56997880748913,0.5769340005,0.017745274,0.12188454325
"Portsmouth, OH",C,0.689922876528428,0.936965117,0.037404165,0.3444365325
"Portsmouth, OH",D,0.683094843603659,0.930197426,0.0545136057,0.371837444
"Poughkeepsie, NY",A,0.76914801652,1,0.0739303306,0.610694632
"Poughkeepsie, NY",B,0.681145243634831,0.9366427275,0.0441219528,0.28584407475
"Poughkeepsie, NY",C,0.661504108510204,0.817838895,0.061787984,0.310117867
"Poughkeepsie, NY",D,0.640799575504505,0.787999002,0.069229888,0.2747442735
"Providence, RI",A,0.791353917872449,1,0.0320251007,0.907913576
"Providence, RI",B,0.775783439673677,1,0.0393747598,0.703410759
"Providence, RI",C,0.821909128492522,1,0.0671948088,0.918690787
"Providence, RI",D,0.69834306088535,0.996766334,0.0364437264,0.18742979
"Pueblo, CO",A,0.767843119496951,1,0.0515537255,0.56414406725
"Pueblo, CO",B,0.832066117655584,1,0.1236230608,0.958523609
"Pueblo, CO",C,0.755267121573034,1,0.0572015744,0.5520574605
"Pueblo, CO",D,0.737619840659406,1,0.0288628988,0.441337382
"Racine, WI",A,0.469631675333333,0.3176204005,0.0057977829,0.01115618125
"Racine, WI",B,0.631099595612245,0.9704399825,0.0088544347,0.057299794
"Racine, WI",C,0.693445698374443,0.988838261,0.0179883464,0.216617385
"Racine, WI",D,0.70349225154756,0.998350322,0.0219016936,0.2110931295
"Richmond, VA",A,0.681341400480769,0.994709336,0.027017882,0.262023965
"Richmond, VA",B,0.677866774054054,0.956716161,0.033902752,0.258271006
"Richmond, VA",C,0.717097123603856,0.967111932,0.056174685,0.444499929
"Richmond, VA",D,0.689524333021368,0.9077505685,0.1079893939,0.37607600725
"Roanoke, VA",A,0.521722057727273,0.4608779945,0.0092847028,0.07740675325
"Roanoke, VA",B,0.664342585676667,0.94289873,0.0206655122,0.23406401775
"Roanoke, VA",C,0.787513123949858,1,0.0929834614000001,0.632003149
"Roanoke, VA",D,0.811095763716243,1,0.0819857741,0.8540898285
"Rochester, MN",A,0.744189440111111,0.918122455,0.1676452594,0.522380387
"Rochester, MN",B,0.761797293067227,1,0.0280528724,0.504896678
"Rochester, MN",C,0.812685546640449,0.974478418,0.2564328853,0.7479549215
